"start_date","row_id","slept","eaten_food","cooked_food","gone_to_work","commuted_for_work","relaxed_with_a_hobby_tell_us_the_hobby_by_typing_in_the_other_field","other_whats_your_hobby"
"2022-04-28 11:44:12",36,"Slept","Eaten food","Cooked food","Gone to work","","",""
"2022-04-28 11:46:46",37,"Slept","Eaten food","Cooked food","Gone to work","Commuted for work","","Other (WHAT'S YOUR HOBBY?)"
"2022-04-28 11:57:17",38,"Slept","Eaten food","Cooked food","","","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-28 12:04:51",39,"Slept","Eaten food","","Gone to work","Commuted for work","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-28 12:09:44",40,"Slept","Eaten food","Cooked food","","","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-28 12:17:18",41,"Slept","Eaten food","Cooked food","","","",""
"2022-04-28 12:37:05",42,"Slept","Eaten food","Cooked food","Gone to work","","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-28 12:38:36",43,"Slept","Eaten food","","Gone to work","Commuted for work","",""
"2022-04-28 12:37:08",44,"Slept","Eaten food","","Gone to work","","",""
"2022-04-28 12:44:30",45,"Slept","Eaten food","","Gone to work","","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)",""
"2022-04-28 12:56:26",46,"Slept","Eaten food","","Gone to work","Commuted for work","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-28 13:06:35",47,"Slept","Eaten food","Cooked food","","","","Other (WHAT'S YOUR HOBBY?)"
"2022-04-28 13:07:53",48,"","Eaten food","Cooked food","","Commuted for work","","Other (WHAT'S YOUR HOBBY?)"
"2022-04-28 13:10:19",49,"Slept","Eaten food","Cooked food","Gone to work","Commuted for work","",""
"2022-04-28 13:10:28",50,"Slept","Eaten food","","Gone to work","Commuted for work","",""
"2022-04-28 13:08:01",51,"","Eaten food","","","","",""
"2022-04-28 13:40:15",52,"Slept","Eaten food","","","","",""
"2022-04-28 13:44:37",53,"Slept","Eaten food","","Gone to work","Commuted for work","",""
"2022-04-28 13:52:13",54,"Slept","Eaten food","","Gone to work","Commuted for work","",""
"2022-04-28 13:57:08",55,"Slept","Eaten food","","Gone to work","Commuted for work","",""
"2022-04-28 13:56:55",56,"Slept","Eaten food","Cooked food","","","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-28 13:57:30",57,"Slept","Eaten food","","Gone to work","","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-28 14:00:56",58,"Slept","Eaten food","Cooked food","Gone to work","","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)",""
"2022-04-28 14:02:54",59,"Slept","Eaten food","Cooked food","Gone to work","Commuted for work","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-28 14:18:17",60,"Slept","Eaten food","","Gone to work","Commuted for work","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-28 14:36:37",61,"Slept","Eaten food","Cooked food","Gone to work","","",""
"2022-04-28 14:46:34",62,"Slept","Eaten food","Cooked food","","","","Other (WHAT'S YOUR HOBBY?)"
"2022-04-28 14:52:48",63,"Slept","Eaten food","Cooked food","Gone to work","Commuted for work","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-28 14:53:59",64,"Slept","","","","Commuted for work","","Other (WHAT'S YOUR HOBBY?)"
"2022-04-28 15:30:26",65,"Slept","Eaten food","Cooked food","Gone to work","","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-28 15:40:54",66,"Slept","Eaten food","","Gone to work","","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-28 15:43:15",67,"Slept","Eaten food","","Gone to work","","","Other (WHAT'S YOUR HOBBY?)"
"2022-04-28 16:22:49",68,"Slept","Eaten food","Cooked food","Gone to work","","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-28 17:15:34",69,"Slept","Eaten food","","Gone to work","Commuted for work","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-28 17:42:39",70,"Slept","Eaten food","Cooked food","Gone to work","","",""
"2022-04-28 17:49:09",71,"Slept","Eaten food","Cooked food","Gone to work","Commuted for work","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-28 17:54:25",72,"Slept","Eaten food","Cooked food","Gone to work","","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-28 18:18:02",73,"Slept","Eaten food","Cooked food","Gone to work","","",""
"2022-04-28 19:02:04",74,"Slept","Eaten food","","Gone to work","","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-28 19:04:46",75,"Slept","Eaten food","Cooked food","Gone to work","","",""
"2022-04-28 19:07:14",76,"Slept","Eaten food","","Gone to work","Commuted for work","",""
"2022-04-28 19:08:06",77,"Slept","Eaten food","","Gone to work","","",""
"2022-04-28 19:54:38",78,"Slept","Eaten food","","","","",""
"2022-04-28 19:58:27",79,"Slept","Eaten food","Cooked food","Gone to work","","","Other (WHAT'S YOUR HOBBY?)"
"2022-04-28 20:03:59",80,"Slept","Eaten food","Cooked food","","","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-28 20:04:48",81,"Slept","Eaten food","Cooked food","","","",""
"2022-04-28 20:08:07",82,"Slept","Eaten food","Cooked food","","","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-28 20:12:44",83,"Slept","Eaten food","","Gone to work","","",""
"2022-04-28 20:18:12",84,"Slept","Eaten food","Cooked food","Gone to work","","",""
"2022-04-28 20:20:46",85,"Slept","Eaten food","Cooked food","Gone to work","","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)",""
"2022-04-28 20:31:08",86,"Slept","Eaten food","Cooked food","Gone to work","","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-28 20:48:58",87,"Slept","Eaten food","Cooked food","","","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-28 21:04:40",88,"Slept","Eaten food","Cooked food","Gone to work","Commuted for work","",""
"2022-04-28 21:04:36",89,"Slept","Eaten food","Cooked food","Gone to work","","",""
"2022-04-28 21:28:03",90,"Slept","Eaten food","Cooked food","Gone to work","","",""
"2022-04-28 22:48:25",91,"Slept","Eaten food","Cooked food","","Commuted for work","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-28 22:54:52",92,"Slept","Eaten food","Cooked food","Gone to work","Commuted for work","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-28 23:08:35",93,"Slept","Eaten food","Cooked food","Gone to work","Commuted for work","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-28 23:24:00",94,"","Eaten food","","Gone to work","","",""
"2022-04-28 23:28:43",95,"Slept","Eaten food","","Gone to work","Commuted for work","",""
"2022-04-28 23:29:00",96,"Slept","Eaten food","","","","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-29 00:04:13",97,"Slept","Eaten food","","Gone to work","Commuted for work","",""
"2022-04-29 00:41:05",98,"Slept","Eaten food","Cooked food","Gone to work","","",""
"2022-04-29 01:00:11",99,"Slept","Eaten food","Cooked food","Gone to work","Commuted for work","",""
"2022-04-29 01:07:53",100,"Slept","Eaten food","","Gone to work","","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-29 01:12:29",101,"Slept","Eaten food","Cooked food","","","",""
"2022-04-29 01:31:50",102,"Slept","Eaten food","Cooked food","","","",""
"2022-04-29 01:54:32",103,"Slept","Eaten food","Cooked food","Gone to work","Commuted for work","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-29 02:06:14",104,"Slept","Eaten food","Cooked food","Gone to work","Commuted for work","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-29 02:13:04",105,"Slept","Eaten food","Cooked food","Gone to work","Commuted for work","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-29 02:26:22",106,"Slept","Eaten food","","","","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-29 03:34:37",107,"Slept","Eaten food","","Gone to work","Commuted for work","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-29 04:23:20",108,"Slept","Eaten food","","Gone to work","","",""
"2022-04-29 04:31:59",109,"Slept","Eaten food","","","","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-29 04:40:39",110,"Slept","Eaten food","","Gone to work","","",""
"2022-04-28 22:17:50",111,"Slept","Eaten food","Cooked food","Gone to work","","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-29 05:38:34",112,"Slept","Eaten food","","Gone to work","","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-29 05:43:11",113,"Slept","Eaten food","","Gone to work","","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-29 05:49:46",114,"Slept","Eaten food","","Gone to work","Commuted for work","",""
"2022-04-29 05:54:40",115,"Slept","Eaten food","Cooked food","Gone to work","Commuted for work","",""
"2022-04-29 05:55:50",116,"Slept","Eaten food","","Gone to work","","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-29 06:01:22",117,"Slept","","","","Commuted for work","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-29 06:05:41",118,"Slept","Eaten food","","Gone to work","Commuted for work","","Other (WHAT'S YOUR HOBBY?)"
"2022-04-29 06:28:58",119,"Slept","Eaten food","Cooked food","Gone to work","Commuted for work","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-29 06:52:28",120,"Slept","Eaten food","Cooked food","","","",""
"2022-04-29 07:43:39",121,"Slept","Eaten food","Cooked food","Gone to work","","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-29 08:04:02",122,"Slept","Eaten food","","","","",""
"2022-04-29 08:04:52",123,"Slept","Eaten food","Cooked food","Gone to work","Commuted for work","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-29 08:08:53",124,"Slept","Eaten food","Cooked food","Gone to work","","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-29 08:12:04",125,"","Eaten food","","Gone to work","","",""
"2022-04-29 08:45:37",126,"Slept","Eaten food","","","","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-29 10:06:03",127,"Slept","Eaten food","","","","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-29 10:47:45",128,"Slept","Eaten food","","Gone to work","Commuted for work","",""
"2022-04-29 13:23:25",129,"Slept","Eaten food","Cooked food","Gone to work","","",""
"2022-04-29 20:17:38",130,"Slept","Eaten food","","Gone to work","Commuted for work","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-29 22:01:44",131,"Slept","Eaten food","","Gone to work","Commuted for work","",""
"2022-04-30 08:43:05",132,"Slept","Eaten food","","Gone to work","Commuted for work","",""
"2022-05-02 11:05:28",133,"Slept","Eaten food","Cooked food","","","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-05-04 06:02:48",134,"Slept","Eaten food","","Gone to work","","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
