Timestamp,Select all the things you've done in the past 24hours.
2022-04-28 12:09:44,"Slept, Eaten food, Cooked food, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), Writing R code ;-)"
2022-04-28 12:17:18,"Slept, Eaten food, Cooked food"
2022-04-28 12:37:05,"Slept, Eaten food, Cooked food, Gone to work, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), Reading a book"
2022-04-28 12:38:36,"Slept, Eaten food, Gone to work, Commuted for work"
2022-04-28 12:37:08,"Slept, Eaten food, Gone to work"
2022-04-28 12:44:30,"Slept, Eaten food, Gone to work, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)"
2022-04-28 12:56:26,"Slept, Eaten food, Gone to work, Commuted for work, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), Gardening"
2022-04-28 13:06:35,"Slept, Eaten food, Cooked food, Writing, and visiting family"
2022-04-28 13:07:53,"Eaten food, Cooked food, Commuted for work, yoga"
2022-04-28 13:10:19,"Slept, Eaten food, Cooked food, Gone to work, Commuted for work"
2022-04-28 13:10:28,"Slept, Eaten food, Gone to work, Commuted for work"
2022-04-28 13:08:01,Eaten food
2022-04-28 13:40:15,"Slept, Eaten food"
2022-04-28 13:44:37,"Slept, Eaten food, Gone to work, Commuted for work"
2022-04-28 13:52:13,"Slept, Eaten food, Gone to work, Commuted for work"
2022-04-28 13:57:08,"Slept, Eaten food, Gone to work, Commuted for work"
2022-04-28 13:56:55,"Slept, Eaten food, Cooked food, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), Taskmaster"
2022-04-28 13:57:30,"Slept, Eaten food, Gone to work, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), Watching TV Series"
2022-04-28 14:00:56,"Slept, Eaten food, Cooked food, Gone to work, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)"
2022-04-28 14:02:54,"Slept, Eaten food, Cooked food, Gone to work, Commuted for work, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), Playing league of legends"
2022-04-28 14:18:17,"Slept, Eaten food, Gone to work, Commuted for work, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), Tea"
2022-04-28 14:36:37,"Slept, Eaten food, Cooked food, Gone to work"
2022-04-28 14:46:34,"Slept, Eaten food, Cooked food, I don't know"
2022-04-28 14:52:48,"Slept, Eaten food, Cooked food, Gone to work, Commuted for work, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), Knitting"
2022-04-28 14:53:59,"Slept, Commuted for work, Photography"
2022-04-28 15:30:26,"Slept, Eaten food, Cooked food, Gone to work, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), Running"
2022-04-28 15:40:54,"Slept, Eaten food, Gone to work, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), YouTube"
2022-04-28 15:43:15,"Slept, Eaten food, Gone to work, Statistics course"
2022-04-28 16:22:49,"Slept, Eaten food, Cooked food, Gone to work, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), wordle"
2022-04-28 17:15:34,"Slept, Eaten food, Gone to work, Commuted for work, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), Being lazy, pregnant, and watching chopped reruns"
2022-04-28 17:42:39,"Slept, Eaten food, Cooked food, Gone to work"
2022-04-28 17:49:09,"Slept, Eaten food, Cooked food, Gone to work, Commuted for work, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), Scrolling rstats twitter"
2022-04-28 17:54:25,"Slept, Eaten food, Cooked food, Gone to work, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), Wordle, work out, babysat"
2022-04-28 18:18:02,"Slept, Eaten food, Cooked food, Gone to work"
2022-04-28 19:02:04,"Slept, Eaten food, Gone to work, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), learned a bit more about python programming"
2022-04-28 19:04:46,"Slept, Eaten food, Cooked food, Gone to work"
2022-04-28 19:07:14,"Slept, Eaten food, Gone to work, Commuted for work"
2022-04-28 19:08:06,"Slept, Eaten food, Gone to work"
2022-04-28 19:54:38,"Slept, Eaten food"
2022-04-28 19:58:27,"Slept, Eaten food, Cooked food, Gone to work, Scroll in tiktok"
2022-04-28 20:03:59,"Slept, Eaten food, Cooked food, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), Video games"
2022-04-28 20:04:48,"Slept, Eaten food, Cooked food"
2022-04-28 20:08:07,"Slept, Eaten food, Cooked food, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), Playing with my puppy"
2022-04-28 20:12:44,"Slept, Eaten food, Gone to work"
2022-04-28 20:18:12,"Slept, Eaten food, Cooked food, Gone to work"
2022-04-28 20:20:46,"Slept, Eaten food, Cooked food, Gone to work, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)"
2022-04-28 20:31:08,"Slept, Eaten food, Cooked food, Gone to work, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), bleep bloop"
2022-04-28 20:48:58,"Slept, Eaten food, Cooked food, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), Video games and running"
2022-04-28 21:04:40,"Slept, Eaten food, Cooked food, Gone to work, Commuted for work"
2022-04-28 21:04:36,"Slept, Eaten food, Cooked food, Gone to work"
2022-04-28 21:28:03,"Slept, Eaten food, Cooked food, Gone to work"
2022-04-28 22:48:25,"Slept, Eaten food, Cooked food, Commuted for work, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), Birding!"
2022-04-28 22:54:52,"Slept, Eaten food, Cooked food, Gone to work, Commuted for work, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), Video games"
2022-04-28 23:08:35,"Slept, Eaten food, Cooked food, Gone to work, Commuted for work, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), Playing Zelda"
2022-04-28 23:24:00,"Eaten food, Gone to work"
2022-04-28 23:28:43,"Slept, Eaten food, Gone to work, Commuted for work"
2022-04-28 23:29:00,"Slept, Eaten food, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), Gaming"
2022-04-29 00:04:13,"Slept, Eaten food, Gone to work, Commuted for work"
2022-04-29 00:41:05,"Slept, Eaten food, Cooked food, Gone to work"
2022-04-29 01:00:11,"Slept, Eaten food, Cooked food, Gone to work, Commuted for work"
2022-04-29 01:07:53,"Slept, Eaten food, Gone to work, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), Violin"
2022-04-29 01:12:29,"Slept, Eaten food, Cooked food"
2022-04-29 01:31:50,"Slept, Eaten food, Cooked food"
2022-04-29 01:54:32,"Slept, Eaten food, Cooked food, Gone to work, Commuted for work, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), doing crossfit"
2022-04-29 02:06:14,"Slept, Eaten food, Cooked food, Gone to work, Commuted for work, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), Play video game"
2022-04-29 02:13:04,"Slept, Eaten food, Cooked food, Gone to work, Commuted for work, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), Coding"
2022-04-29 02:26:22,"Slept, Eaten food, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), Running"
2022-04-29 03:34:37,"Slept, Eaten food, Gone to work, Commuted for work, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), Comic book reading"
2022-04-29 04:23:20,"Slept, Eaten food, Gone to work"
2022-04-29 04:31:59,"Slept, Eaten food, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), Watch TV"
2022-04-29 04:40:39,"Slept, Eaten food, Gone to work"
2022-04-28 22:17:50,"Slept, Eaten food, Cooked food, Gone to work, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), Games"
2022-04-29 05:38:34,"Slept, Eaten food, Gone to work, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), Does Netflix count?"
2022-04-29 05:43:11,"Slept, Eaten food, Gone to work, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), Listening to music"
2022-04-29 05:49:46,"Slept, Eaten food, Gone to work, Commuted for work"
2022-04-29 05:54:40,"Slept, Eaten food, Cooked food, Gone to work, Commuted for work"
2022-04-29 05:55:50,"Slept, Eaten food, Gone to work, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), Running"
2022-04-29 06:01:22,"Slept, Commuted for work, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), Drums"
2022-04-29 06:05:41,"Slept, Eaten food, Gone to work, Commuted for work, dogs"
2022-04-29 06:28:58,"Slept, Eaten food, Cooked food, Gone to work, Commuted for work, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), Road Bike"
2022-04-29 06:52:28,"Slept, Eaten food, Cooked food"
2022-04-29 07:43:39,"Slept, Eaten food, Cooked food, Gone to work, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), Yoga"
2022-04-29 08:04:02,"Slept, Eaten food"
2022-04-29 08:04:52,"Slept, Eaten food, Cooked food, Gone to work, Commuted for work, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), Pr0gramming"
2022-04-29 08:08:53,"Slept, Eaten food, Cooked food, Gone to work, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), Exercise"
2022-04-29 08:12:04,"Eaten food, Gone to work"
2022-04-29 08:45:37,"Slept, Eaten food, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), reading"
2022-04-29 10:06:03,"Slept, Eaten food, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), Gone for a walk"
2022-04-29 10:47:45,"Slept, Eaten food, Gone to work, Commuted for work"
2022-04-29 13:23:25,"Slept, Eaten food, Cooked food, Gone to work"
2022-04-29 20:17:38,"Slept, Eaten food, Gone to work, Commuted for work, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), Movies and music"
2022-04-29 22:01:44,"Slept, Eaten food, Gone to work, Commuted for work"
2022-04-30 08:43:05,"Slept, Eaten food, Gone to work, Commuted for work"
2022-05-02 11:05:28,"Slept, Eaten food, Cooked food, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), Cycling"
2022-05-04 06:02:48,"Slept, Eaten food, Gone to work, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), Reading"
